camera_id,year,month,accidents
DEI-009/CAM-01,2020,4,27
DEI-009/CAM-01,2020,5,42
DEI-009/CAM-01,2020,6,76
DEI-009/CAM-01,2020,7,90
DEI-009/CAM-01,2020,8,80
DEI-009/CAM-01,2020,9,79
DEI-009/CAM-01,2020,10,110
DEI-009/CAM-01,2020,11,110
DEI-009/CAM-01,2020,12,103
DEI-009/CAM-01,2021,1,70
DEI-009/CAM-01,2021,2,80
DEI-009/CAM-01,2021,3,122
DEI-009/CAM-01,2021,4,91
DEI-009/CAM-01,2021,5,82
DEI-009/CAM-01,2021,6,123
DEI-009/CAM-01,2021,7,98
DEI-009/CAM-01,2021,8,93
DEI-009/CAM-01,2021,9,111
DEI-009/CAM-01,2021,10,127
DEI-009/CAM-01,2021,11,123
DEI-009/CAM-01,2021,12,107
DEI-009/CAM-01,2022,1,130
DEI-009/CAM-01,2022,2,139
DEI-009/CAM-01,2022,3,146
DEI-009/CAM-01,2022,4,131
DEI-009/CAM-01,2022,5,135
DEI-009/CAM-01,2022,6,138
DEI-009/CAM-01,2022,7,137
DEI-009/CAM-01,2022,8,108
DEI-009/CAM-01,2022,9,136
DEI-009/CAM-01,2022,10,71
DEI-009/CAM-01,2022,11,61
DEI-009/CAM-01,2022,12,57
DEI-009/CAM-02,2019,1,142
DEI-009/CAM-02,2019,2,131
DEI-009/CAM-02,2019,3,145
DEI-009/CAM-02,2019,4,151
DEI-009/CAM-02,2019,5,165
DEI-009/CAM-02,2019,6,133
DEI-009/CAM-02,2019,7,133
DEI-009/CAM-02,2019,8,122
DEI-009/CAM-02,2019,9,144
DEI-009/CAM-02,2019,10,132
DEI-009/CAM-02,2019,11,116
DEI-009/CAM-02,2019,12,155
DEI-009/CAM-02,2020,1,103
DEI-009/CAM-02,2020,2,116
DEI-009/CAM-02,2020,3,80
DEI-009/CAM-02,2020,4,27
DEI-009/CAM-02,2020,5,42
DEI-009/CAM-02,2020,6,76
DEI-009/CAM-02,2020,7,90
DEI-009/CAM-02,2020,8,80
DEI-009/CAM-02,2020,9,79
